Market,Latitude,Longitude
Doraha APMC,30.8039,76.0334
Hathur APMC,30.6038,75.4257
Jagraon APMC,30.7878,75.4739
Khanna APMC,30.7055,76.2219
Kila Raipur APMC,30.71,75.83
Kila Raipur (Jodhan) APMC,30.7,75.82
Ludhiana APMC,30.901,75.8573
Ludhiana (Mandi Gill Road) APMC,30.895,75.86
Ludhiana (Salem Tabri) APMC,30.92,75.85
Machhiwara APMC,30.9156,76.2
Malaoud (Siar) APMC,30.6,75.9
Maloud APMC,30.597,75.89
Mansura APMC,30.76,75.5
Mullanpur APMC,30.816,75.676
Mullanpur Dakha (Sawadi) APMC,30.8,75.65
Nurpurbet APMC,31.05,76.2
Purain APMC,30.88,75.7
Raikot (Nathowal) APMC,30.66,75.61
Raikot (Talwandi Rai) APMC,30.64,75.59
Raikot APMC,30.65,75.6
Samrala APMC,30.835,76.19
Sidhwan Bet (Lodhiwala) APMC,30.72,75.55
Sidhwan Bet APMC,30.72,75.54
Kum Kalan APMC,30.98,75.9
Lakhowal APMC,30.92,75.78
